noise_variance,model,best_epoch,best_val_mse,final_val_mse,final_sdr_db,final_symbol_accuracy,stop_epoch,stop_reason
0.0,Hybrid,18,8.717647304163418e-05,8.717647304163418e-05,37.59060735551138,1.0,20,fixed_budget
0.0,LSTM,20,1.4038140400930026e-05,1.4038140400930026e-05,45.51868408445328,1.0,20,fixed_budget
0.0,IQ_CNN,18,3.480951082088896e-05,3.480951082088896e-05,41.60040295313275,1.0,20,fixed_budget
0.01,Hybrid,19,0.002114696280350761,0.002114696280350761,25.56931625850617,0.9974349999999919,20,fixed_budget
0.01,LSTM,12,0.002323979918386728,0.002323979918386728,25.167177018665132,0.9971324999999904,20,fixed_budget
0.01,IQ_CNN,18,0.002294737088035733,0.002294737088035733,25.0352968185667,0.99731499999999,20,fixed_budget
0.02,Hybrid,12,0.018141953540699824,0.018141953540699824,14.574272201174782,0.9766737500000008,20,fixed_budget
0.02,LSTM,12,0.018133938948195132,0.018133938948195132,14.598312271965874,0.9765437500000009,20,fixed_budget
0.02,IQ_CNN,13,0.018196948818744174,0.018196948818744174,14.56468949999128,0.9767087500000013,20,fixed_budget
0.04,Hybrid,15,0.058476346648401685,0.058476346648401685,9.365210745069716,0.9228787500000002,20,fixed_budget
0.04,LSTM,9,0.05811119670905764,0.05811119670905764,9.394026922801185,0.9228049999999995,20,fixed_budget
0.04,IQ_CNN,10,0.058553029206537065,0.058553029206537065,9.36130508543953,0.9229000000000003,20,fixed_budget
0.06,Hybrid,19,0.09024932401047812,0.09024932401047812,7.462284300062391,0.8792475000000008,20,fixed_budget
0.06,LSTM,17,0.08984891916551287,0.08984891916551287,7.481599126543317,0.8798199999999993,20,fixed_budget
0.06,IQ_CNN,15,0.09040931541295279,0.09040931541295279,7.4548012339879595,0.8793762499999994,20,fixed_budget
0.08,Hybrid,15,0.11422950951826005,0.11422950951826005,6.431331044151669,0.8457737500000002,20,fixed_budget
0.08,LSTM,17,0.11394249896208446,0.11394249896208446,6.442527778564938,0.8461774999999992,20,fixed_budget
0.08,IQ_CNN,7,0.11461987050752791,0.11461987050752791,6.415746726686993,0.8464437500000004,20,fixed_budget
0.1,Hybrid,15,0.13058727080859836,0.13058727080859836,5.846742221287319,0.8227437500000012,20,fixed_budget
0.1,LSTM,17,0.13029531566869645,0.13029531566869645,5.856851895650228,0.8230487500000002,20,fixed_budget
0.1,IQ_CNN,10,0.13084389943452107,0.13084389943452107,5.838547986651224,0.8227925000000011,20,fixed_budget
0.12,Hybrid,15,0.14495379087470828,0.14495379087470828,5.3915413977607844,0.8014699999999995,20,fixed_budget
0.12,LSTM,20,0.14467739349319822,0.14467739349319822,5.400184093959748,0.8017412500000001,20,fixed_budget
0.12,IQ_CNN,14,0.14492967370010557,0.14492967370010557,5.3921501977103095,0.8016212499999996,20,fixed_budget
0.14,Hybrid,16,0.15637079685453384,0.15637079685453384,5.060311075240847,0.7848574999999984,20,fixed_budget
0.14,LSTM,10,0.1559022596431157,0.1559022596431157,5.073870545341855,0.7852562499999995,20,fixed_budget
0.14,IQ_CNN,11,0.1565273217265568,0.1565273217265568,5.055980765630329,0.785631249999999,20,fixed_budget
0.16,Hybrid,17,0.16552263545611548,0.16552263545611548,4.812033350505526,0.7713062500000007,20,fixed_budget
0.16,LSTM,11,0.16510826089079417,0.16510826089079417,4.823008597843231,0.7717262500000006,20,fixed_budget
0.16,IQ_CNN,9,0.16549791608537948,0.16549791608537948,4.812527255406455,0.771606249999999,20,fixed_budget
0.2,Hybrid,11,0.1813595983244124,0.1813595983244124,4.412917243109809,0.7470650000000003,20,fixed_budget
0.2,LSTM,14,0.18085525882622552,0.18085525882622552,4.425293733203222,0.7480325000000002,20,fixed_budget
0.2,IQ_CNN,12,0.18140311326299394,0.18140311326299394,4.41193952257671,0.7477599999999999,20,fixed_budget
