separator,alphaIndex,frame_success_rate,mean_best_num_errors,mean_ber,n_frames
FastICA,1,0.91,0.26,0.013000000000000001,100
FastICA,2,0.84,0.72,0.036,100
FastICA,3,0.91,0.41,0.020500000000000004,100
FastICA,4,0.89,0.61,0.0305,100
FastICA,5,0.84,0.77,0.0385,100
FastICA,6,0.91,0.37,0.0185,100
FastICA,7,0.81,0.78,0.039,100
FastICA,8,0.91,0.31,0.0155,100
FastICA,9,0.85,0.53,0.0265,100
FastICA,10,0.84,0.59,0.0295,100
FastICA,11,0.9,0.48,0.024,100
FastICA,12,0.82,0.65,0.0325,100
FastICA,13,0.64,1.32,0.066,100
FastICA,14,0.64,1.36,0.068,100
FastICA,15,0.49,2.12,0.106,100
Learned: HTDemucs,1,0.0,7.0,0.35,5
Learned: Hybrid,1,0.0,8.74,0.43700000000000006,100
Learned: Hybrid,2,0.0,8.74,0.43700000000000006,100
Learned: Hybrid,3,0.0,8.76,0.43799999999999994,100
Learned: Hybrid,4,0.0,8.58,0.429,100
Learned: Hybrid,5,0.0,9.07,0.4535,100
Learned: IQ_CNN,1,0.0,9.8,0.49000000000000005,5
Learned: LSTM,1,0.0,10.0,0.5,5
