separator,output_index,success,n_rows,mean_numErrors,mean_payload_std_abs,mean_payload_phase_std,mean_payload_power_mean
FastICA,1,0,564,6.166666666666667,0.428637096503883,1.790613679296117,1.0
FastICA,1,1,936,0.0,0.20848081283068792,1.8392945356081591,1.0
FastICA,2,0,1204,8.382890365448505,0.44965026547075665,1.8021576986606063,1.0
FastICA,2,1,296,0.0,0.27019054428815,1.8339361966580745,1.0
Learned: HTDemucs,1,0,5,9.4,0.794420098661,1.744504150024,1.0
Learned: HTDemucs,2,0,5,8.6,0.629010236271,1.485664918288,1.0
Learned: Hybrid,1,0,500,9.954,0.39326385689759796,1.80188032213774,1.0
Learned: Hybrid,2,0,500,10.02,0.40549619359032196,1.78535007457598,1.0
Learned: IQ_CNN,1,0,5,10.6,0.3563816261556,1.6522300896539999,1.0
Learned: IQ_CNN,2,0,5,10.8,0.43358885335919994,1.7550280909599998,1.0
Learned: LSTM,1,0,5,11.0,0.3791087173774,1.723363643786,1.0
Learned: LSTM,2,0,5,11.6,0.4007138689744,1.752258838514,1.0
